id;type;start_period;end_period;name;generated_report_name;generated_aif_name;generated_report_location;generated_aif_location
1;IT3S;2020-08-28T21:23:23;2020-08-28T14:31:23;Cambridgeshire Infrastructure Licensed;generate innovative;Naira;Home Loan Account connecting;architecture Mouse
2;IT3B;2020-08-28T21:02:43;2020-08-28T14:54:18;payment;Skyway Steel;analyzer neural bluetooth;Berkshire Mandatory sky blue;discrete
3;IT3S;2020-08-29T05:01:04;2020-08-28T14:47:47;24/365;XML online;Robust;bypassing;dynamic navigating Latvian Lats
4;IT3B;2020-08-28T11:28:19;2020-08-28T21:04:16;invoice reintermediate architecture;Branding Coordinator Markets;Illinois Product;Rwanda Franc teal;sensor networks Customizable
5;IT3C;2020-08-28T17:49:13;2020-08-28T21:13:58;Intelligent Metal Soap Movies;Salad;Nevada;Strategist e-services;reboot Handcrafted Concrete Shirt
6;IT3S;2020-08-28T14:38:15;2020-08-28T10:40:08;Auto Loan Account;methodology Movies;workforce Operations;violet Harbor;Tasty Rubber Cheese implementation Rustic
7;IT3B;2020-08-29T08:43:25;2020-08-28T16:22:16;International;Glens Mongolia;strategize;exuding;Hawaii
8;IT3B;2020-08-29T04:59:18;2020-08-29T08:16:49;world-class Investment Account Specialist;3rd generation;connecting;Direct Directives;Organic Incredible
9;IT3C;2020-08-29T00:24:36;2020-08-28T17:17:47;Unbranded Cotton Shoes;Mall pricing structure Response;wireless Bridge;Landing;Kentucky Supervisor deposit
10;IT3B;2020-08-29T01:15:52;2020-08-29T02:04:57;Madagascar digital Music;port leverage;Yuan Renminbi invoice;Bouvet Island (Bouvetoya) mobile;International Money Market Account Bedfordshire
