id;name;trade_name;tax_number;url;deleted
1;XSS;Baby Alabama Hat;pink Avon;http://elvis.name;false
2;transmitter Group;Way Kansas;XML brand;https://chaya.info;true
3;Music;e-tailers Refined Cotton Tuna;open-source Planner;http://luther.biz;false
4;coherent;communities systems Chicken;Codes specifically reserved for testing purposes Towels;http://christine.biz;false
5;Shoes Colorado;Alabama connecting;Rue;http://dora.net;true
6;Unbranded Fresh Ball ubiquitous;Bedfordshire;invoice Computer;http://jarod.org;true
7;background deposit;reboot;matrix Chief e-enable;http://jesse.com;true
8;backing up;Toys mindshare HDD;Coves;https://jay.com;false
9;Inverse Plastic Robust;Ergonomic Bedfordshire calculate;Fish Accounts;https://vernice.com;false
10;Colorado;standardization non-volatile;Principal Chicken;https://emil.org;true
