id;phone_number;extension;deleted
1;Savings Account composite Avon;Sudan Concrete Computer;true
2;Small Metal Towels exploit backing up;primary optimizing Industrial;true
3;productivity;wireless Director Balanced;false
4;RAM Data;backing up Chicken;true
5;matrix Developer;end-to-end Internal open-source;false
6;5th generation District;customized;false
7;Circles;withdrawal Markets purple;true
8;Union Lake;niches Australian Dollar Corporate;true
9;SDD Pizza;Applications;true
10;Bouvet Island (Bouvetoya) intuitive;Moldovan Leu Manat Rhode Island;false
