id;transaction_id;transaction_type;transaction_mode;trans_amount;date_of_transaction
1;generate compressing Automotive;INVESTMENTS;CREDIT;68760;2020-08-28T11:29:24
2;Planner;INVESTMENTS;CREDIT;62532;2020-08-28T13:02:27
3;Kids definition;ROYALTIES;DEBIT;44133;2020-08-28T15:20:59
4;ROI asymmetric networks;ROYALTIES;CREDIT;99495;2020-08-29T06:24:53
5;Comoro Franc indigo Bahamian Dollar;ACTIVE;DEBIT;25874;2020-08-28T10:09:57
6;matrix Officer;PROPERTY;DEBIT;34082;2020-08-29T06:35:02
7;incubate;ROYALTIES;DEBIT;97053;2020-08-28T23:34:36
8;utilisation SSL;PROPERTY;DEBIT;43637;2020-08-29T04:45:05
9;Optimized Outdoors;CAPITAL_GAINS;CREDIT;24808;2020-08-29T02:13:44
10;vortals Web invoice;INVESTMENTS;DEBIT;74215;2020-08-29T05:23:39
