id;commercial_name;tax_number;title;date_of_start;business_closed;business_area;deleted
1;Metal 1080p;web-readiness National;online;2020-08-22T13:35:19;true;Optional Nepal Music;true
2;invoice;synthesize Dominican Republic Malagasy Ariary;compress throughput;2020-08-21T19:41:19;true;Bedfordshire red;false
3;Frozen Israel;transparent navigate Concrete;UAE Dirham;2020-08-22T03:09:45;true;reboot card wireless;true
4;optical calculate Spurs;Concrete holistic lavender;SMS;2020-08-22T08:57:49;false;Industrial;false
5;streamline New Jersey;system;methodical Fresh Sleek Metal Fish;2020-08-22T08:19:52;true;web services repurpose;false
6;Legacy;override;Refined Concrete Computer EXE Money Market Account;2020-08-22T06:07:43;false;Home Loan Account;false
7;well-modulated Kip Product;Engineer;Arizona service-desk;2020-08-21T17:10:09;false;Concrete Sports Savings Account;true
8;Industrial Representative Montenegro;Concrete;Associate Trinidad and Tobago Division;2020-08-22T14:14:22;true;Saint Helena Pound;true
9;deposit Sausages;Kansas;clicks-and-mortar;2020-08-22T06:36:46;true;program Keyboard;false
10;24/7;Auto Loan Account;transmit whiteboard;2020-08-22T01:23:17;false;Facilitator;false
